Point in Time[s],Number of Resource Containers[]
60.06824432904954,3
83.21935800252714,5
103.492509774162,7
124.15690000000001,9
144.44595409277514,11
165.3623251347347,13
185.8724520931464,15
207.48297248319733,17
228.1795687416241,19
248.64431559025297,21
279.4658939739735,23
299.85316023599233,25
321.30489276824727,27
342.03201361368303,29
372.96149594615673,31
393.8207905068857,33
