Point in Time[s],Number of Resource Containers[]
60.267014565177675,2
89.81199786385426,3
111.12626424499767,4
136.00818029699064,5
155.05614976539587,6
230.87690183074,7
266.7416430524135,8
279.34760810247604,9
318.26373244107714,10
388.19077012287795,11
465.32824607112116,12
