Point in Time[s],Utilization of Active Resource[]
0.11,1.0
2.501122430327769,1.0
3.11,1.0
3.7188775696722307,1.0
4.019957318635494,1.0
6.019957318635494,1.0
6.109999999999999,1.0
7.109999999999999,0.0
7.562880288505166,1.0
9.023560525968575,1.0
9.063560525968574,1.0
9.332554776029038,1.0
9.99209260384277,1.0
10.562880288505166,1.0
11.714509308983644,1.0
12.102200051041757,1.0
12.957866828367782,1.0
13.332554776029038,1.0
13.621519813578349,1.0
14.167670319075604,1.0
14.338154924403982,1.0
14.658302521093997,1.0
14.9417084698817,1.0
15.027930404949945,1.0
15.493770889926845,1.0
16.182121603623976,1.0
16.280457419866426,1.0
17.080390666325005,1.0
18.13385130880745,1.0
18.284345686304942,1.0
18.84233518456114,1.0
20.085692703945277,1.0
22.08110799727759,1.0
22.898525622978514,1.0
23.062009148118698,1.0
24.220280702800604,1.0
24.598928512743196,1.0
25.8268448192474,1.0
26.117882222923203,1.0
26.497402526947724,1.0
26.813814862648478,1.0
26.954810583134346,1.0
27.094810583134343,1.0
27.1154674728458,1.0
27.879320351741956,1.0
28.075834228413054,1.0
32.26124773664275,1.0
32.387463673290284,1.0
32.52701998934731,1.0
32.56288028850517,1.0
32.59874058766303,1.0
33.56288028850517,0.0
39.90354792895721,1.0
41.241332881839135,1.0
42.90354792895721,1.0
44.565762976075284,1.0
44.90354792895721,0.0
47.02829600299979,1.0
48.02829600299979,0.0
49.861384855169696,1.0
50.6117588788085,1.0
50.918353495533005,1.0
51.861384855169696,1.0
53.11101083153089,1.0
53.918353495533005,1.0
54.09783733843315,1.0
54.11101083153089,1.0
54.11759757807976,1.0
54.901842200836754,1.0
56.10442408498202,1.0
56.70571502705465,1.0
57.503133142909384,1.0
57.861384855169696,0.0
59.4202541806889,1.0
62.4202541806889,0.0
65.52746278650145,1.0
67.5023836081314,1.0
67.52746278650145,1.0
67.5525419648715,1.0
68.30730740345412,1.0
70.52746278650145,1.0
70.90680458082119,1.0
72.74761816954877,1.0
73.66802496391256,1.0
73.78318855137685,1.0
75.2277141978179,1.0
75.94997702103844,1.0
76.50545137459738,1.0
77.52746278650145,0.0
89.40778676654887,1.0
90.40778676654887,0.0
91.9722860417903,1.0
93.9722860417903,0.0
94.75935066626212,1.0
95.75935066626212,0.0
106.11076537114,1.0
107.11076537114,0.0
117.52685962964294,1.0
118.52685962964294,0.0
121.30430217914771,1.0
121.66819623746649,1.0
123.30430217914771,1.0
123.66819623746649,1.0
124.30430217914771,0.0
125.490625653085,1.0
126.490625653085,0.0
127.55175634756014,1.0
128.55175634756014,0.0
136.54584013182,1.0
138.54584013182,0.0
146.63175859729526,1.0
148.63175859729526,0.0
153.0088778728257,1.0
156.0088778728257,0.0
159.57814981812118,1.0
161.57814981812118,0.0
166.68564040435024,1.0
169.68564040435024,0.0
170.91323986262833,1.0
172.91323986262833,0.0
174.94827394141322,1.0
177.94827394141322,0.0
187.92919659586283,1.0
188.92919659586283,0.0
189.23058963370914,1.0
189.8147592286972,1.0
