Point in Time[s],Number of Resource Containers[]
60.03647526973749,2
96.7705349220135,3
127.27905939635372,4
158.78860880128212,5
190.104230226229,6
220.61124460713467,7
252.09714856382942,8
282.80442935432706,9
313.7013823410329,10
344.6493219467891,11
375.65544912163165,12
