Point in Time[s],Number of Resource Containers[]
60.51060029014074,2
81.38997422967682,3
101.63854581103287,4
122.97111033246729,5
143.49973757438013,6
165.0130252426782,7
185.54684593239452,8
206.91943862251898,9
227.90090363719452,10
250.17363538463965,11
270.44822547935064,12
291.5687936433704,13
312.00825768208,14
332.3089365346717,15
353.32886686298457,16
373.50590666316145,17
393.7049330238126,18
