Point in Time[s],Resource Demand[s]
0.0,0.04
0.8104107465889611,0.04
5.239509257422567,0.04
6.314868232523637,0.04
9.94071757292161,0.04
9.9756408113901,0.04
15.497811781351032,0.04
18.231581610838603,0.04
18.705465110261606,0.04
21.82831207835224,0.04
22.722854415060652,0.04
23.018329822672534,0.04
24.3152544446198,0.04
25.03073987418279,0.04
32.83462643075007,0.04
34.778883566538354,0.04
35.29776047323414,0.04
39.01181974895102,0.04
41.1594240926659,0.04
41.19039916269196,0.04
42.48650703416787,0.04
47.09020031301089,0.04
47.26822742025881,0.04
49.694088682498084,0.04
52.13509643565591,0.04
62.65892222626621,0.04
63.56301916551075,0.04
66.22519252130908,0.04
70.19088275602942,0.04
70.50685208261243,0.04
72.34829255045781,0.04
73.89872856342528,0.04
74.2250336047385,0.04
74.48223514041973,0.04
77.51257721721915,0.04
77.98750746143331,0.04
79.41838791557115,0.04
79.77487254000773,0.04
80.45960242246812,0.04
81.44922235112618,0.04
82.19936332976485,0.04
82.48964966194627,0.04
82.66496458882598,0.04
83.84356468738216,0.04
92.36656849759625,0.04
93.04606881877339,0.04
96.05002062491774,0.04
96.32897510432198,0.04
103.22740476080416,0.04
105.37002401636711,0.04
106.4374655436869,0.04
110.45113068100977,0.04
116.95126858803087,0.04
118.43645140319661,0.04
118.49317006162642,0.04
119.1188666648677,0.04
119.8982572580408,0.04
124.28056972144172,0.04
126.62460522235703,0.04
126.79803921153174,0.04
132.30938918829878,0.04
134.06769943482536,0.04
137.86159275444984,0.04
140.02821567533502,0.04
141.2037545620871,0.04
143.18985171717156,0.04
143.31279958954187,0.04
144.68533590990518,0.04
149.26747236522928,0.04
149.98426241460493,0.04
151.6759656862653,0.04
156.7991204519085,0.04
157.67128735484232,0.04
163.3604085823047,0.04
166.6287623025083,0.04
177.0270510329562,0.04
180.12245422100906,0.04
180.52570486690374,0.04
184.06189479232887,0.04
189.07165077565995,0.04
195.66173573633174,0.04
202.94204825285365,0.04
206.3423258843962,0.04
207.5139493009679,0.04
207.90659351428133,0.04
208.28624297271494,0.04
210.61722029303797,0.04
215.9405565939726,0.04
217.35085364362382,0.04
218.38509817033423,0.04
220.14407778032947,0.04
226.2406233309289,0.04
227.3133626323475,0.04
228.62464906233794,0.04
232.69198197467773,0.04
232.81272962029908,0.04
233.57685467498337,0.04
237.6740250706497,0.04
239.18780124420772,0.04
240.23050041496097,0.04
241.28698380205412,0.04
243.1965868853282,0.04
246.64786809040294,0.04
247.89928431026007,0.04
248.84637204956852,0.04
249.79099165983658,0.04
251.3048524686249,0.04
253.34955980993544,0.04
255.44155683265095,0.04
257.4673439275356,0.04
259.83761861665084,0.04
260.6780080612481,0.04
260.7291313587242,0.04
262.6146250870282,0.04
262.9377978233098,0.04
264.38550291153376,0.04
267.1839664679381,0.04
268.0881789265504,0.04
268.44867328223893,0.04
269.1973102938278,0.04
272.09687751377885,0.04
272.7612592225378,0.04
273.0855476957316,0.04
275.42406846583003,0.04
277.7298064884473,0.04
278.7118565079205,0.04
278.9970623449489,0.04
283.82051477665624,0.04
286.79142146437835,0.04
288.088421967389,0.04
291.9896803780045,0.04
292.74838491077696,0.04
292.8005404007379,0.04
297.0192420861908,0.04
298.3987734552553,0.04
298.5118433041239,0.04
299.12610847119066,0.04
301.9763737186917,0.04
304.6640123605597,0.04
307.46489336447104,0.04
307.69185893193213,0.04
309.7635774762782,0.04
312.335332717922,0.04
313.42149305877075,0.04
313.54926181544636,0.04
314.81331068559996,0.04
318.8461464096161,0.04
320.2863053366325,0.04
322.6365100002587,0.04
322.95660453433936,0.04
323.1601049586931,0.04
323.9784211422533,0.04
325.7336317423967,0.04
325.83884390698034,0.04
329.78924851017376,0.04
330.4349671281166,0.04
330.4401912517619,0.04
330.794496285917,0.04
332.9287935188782,0.04
334.36342320640136,0.04
338.69392636782584,0.04
340.43610745763556,0.04
342.36219328671467,0.04
344.4310343571613,0.04
360.43130158080453,0.04
361.80826537011586,0.04
364.6369746595221,0.04
364.81946273446414,0.04
370.1129232662923,0.04
370.3153856599865,0.04
372.88542644795893,0.04
373.0547725801054,0.04
373.41596239436126,0.04
375.5418312822268,0.04
378.4845129518907,0.04
381.19836305906574,0.04
386.55371622671015,0.04
391.28958332305064,0.04
391.32380757831675,0.04
392.7071223627302,0.04
396.4171992392819,0.04
397.35088101219577,0.04
397.6479677967271,0.04
399.90483147406684,0.04
401.1980524142562,0.04
401.3932827073385,0.04
402.9003034638819,0.04
407.74998006382754,0.04
408.2099569254843,0.04
409.6545923863783,0.04
