Point in Time[s],State of Passive Resource[]
51.126912000000004,9999
51.126912000000004,10000
101.141912,9999
101.141912,10000
151.15691199999998,9999
151.15691199999998,10000
203.124412,9999
203.124412,10000
255.121912,9999
255.121912,10000
305.139412,9999
305.139412,10000
355.154412,9999
355.154412,10000
