Point in Time[s],State of Passive Resource[]
0.0,9999
0.0,10000
101.126912,9999
101.126912,10000
151.141912,9999
151.141912,10000
201.15691199999998,9999
201.15691199999998,10000
253.124412,9999
253.124412,10000
305.121912,9999
305.121912,10000
355.139412,9999
355.139412,10000
