Point in Time[s],Number of Resource Containers[]
60.61744998214094,2
70.87974878617612,3
82.19231880697025,4
92.52885380274476,5
107.97230019561991,6
119.90435087510951,7
191.04808687724767,8
303.03718419107037,9
346.97527089012107,10
359.17348676966606,11
417.5164402744159,12
