Point in Time[s],Utilization of Active Resource[]
51.2169,1.0
51.54398347529727,1.0
51.61669907099071,1.0
51.738664752486336,1.0
51.91520603163375,1.0
51.96850734435509,1.0
52.13152825089568,1.0
52.16633325209478,1.0
52.32752947170819,1.0
52.42762610358366,1.0
52.556334089599325,1.0
52.61889399177424,1.0
52.7802264863917,1.0
52.791012114302625,1.0
53.011785388270496,1.0
53.04615650179135,1.0
53.14637504232662,1.0
53.71811855801421,1.0
53.79724301503839,1.0
54.11750867152784,1.0
54.20391072939779,1.0
54.211937435078354,1.0
54.52409099638762,1.0
54.584874508240866,1.0
54.88816093424265,1.0
54.95517602771359,1.0
55.00119282873825,1.0
55.08459904935422,1.0
55.104688498041796,1.0
55.220447557362945,1.0
55.3422528666553,1.0
55.45748193082084,1.0
55.645475840085666,1.0
55.69005097108614,1.0
55.79203677664191,1.0
55.88149586250878,1.0
55.88272455549052,1.0
55.89535523114131,1.0
56.43991908229273,1.0
56.533660615534394,1.0
57.1575645245972,1.0
57.16642009741117,1.0
57.761318906208324,1.0
57.858049062063614,1.0
58.24723780125233,1.0
58.35395143983329,1.0
58.63069231603822,1.0
58.933713174856685,1.0
59.507787646046,1.0
59.91935889209528,1.0
60.068417742683856,1.0
60.628218175636256,1.0
61.17224908901952,1.0
61.5409215967166,1.0
61.70730735879905,1.0
62.2066316588481,1.0
62.682462422808115,1.0
62.86551173037901,1.0
63.153493072442025,1.0
63.62410126388222,1.0
64.04663319992754,1.0
64.06542446609616,1.0
64.07606260166429,1.0
64.51358172868436,1.0
64.94805471509213,1.0
65.38052697102056,1.0
65.50642149694188,1.0
65.80952396775666,1.0
66.23771738654526,1.0
66.44909793289841,1.0
66.65677371423332,1.0
67.07156229880415,1.0
67.47963681518696,1.0
67.88617425808698,1.0
68.28931217413516,1.0
68.6895246779624,1.0
69.08934247317556,1.0
69.47265833350535,1.0
69.83460651691988,1.0
70.17679387277292,1.0
70.50817043031515,1.0
70.82918335232263,1.0
71.11628399601283,1.0
71.3618061088153,1.0
71.5742134682762,1.0
71.75781298701642,1.0
71.94096509465737,1.0
72.09060564344145,1.0
72.21882172777198,1.0
72.44672626922878,1.0
72.76517750039922,1.0
73.90468467825006,1.0
75.9751786883623,1.0
76.05537078879716,1.0
76.12848619520601,1.0
76.17682970644418,1.0
76.23932970644418,1.0
81.64552525116017,1.0
83.69974963828128,1.0
83.86193268027773,1.0
83.90909028515257,1.0
85.04830128434989,1.0
86.45090662154956,1.0
86.55375901866329,1.0
87.57652885036167,1.0
88.03977813387628,1.0
88.07280078088102,1.0
88.0835893011097,1.0
88.49223269863995,1.0
89.76397067696654,1.0
90.65054988484029,1.0
91.12878934824532,1.0
91.361420082302,1.0
91.6693628895111,1.0
91.67669486111133,1.0
91.83225326074212,1.0
91.91555994214283,1.0
91.91754343455713,1.0
92.48220716571822,1.0
92.51622337682191,1.0
93.14700415958727,1.0
93.49693726013318,1.0
94.36448758790577,1.0
94.85482810989122,1.0
94.8677318078382,1.0
95.7604861792216,1.0
95.93809040928761,1.0
95.95329890426132,1.0
96.49138950639447,1.0
96.60593878229571,1.0
96.60921161875002,1.0
97.04496340646358,1.0
97.04986627891769,1.0
97.11468899541967,1.0
97.11668115510413,1.0
97.11853712388708,1.0
97.22819818593044,1.0
97.2982237527071,1.0
97.41638256524638,1.0
97.44290063751399,1.0
97.73528755273061,1.0
97.86758758936512,1.0
98.069009635006,1.0
98.11358476600647,1.0
98.20877151785852,1.0
98.22722257807315,1.0
98.28775764782344,1.0
98.28999968744382,1.0
98.30065682002417,1.0
98.72970712699197,1.0
99.26389904987316,1.0
99.59030186457102,1.0
99.73815891134913,1.0
99.74431962163155,1.0
100.00377878109069,1.0
100.01054715040817,1.0
100.24214239839003,1.0
100.25221175699794,1.0
