Point in Time[s],Waiting Time[s]
51.126888,51.126888
51.1569,0.0
73.77355386403859,0.0
102.9637293749519,0.0
113.7318629882964,0.0
113.76223046341448,0.0
113.7943629882964,0.0
113.8243629882964,0.0
113.8543629882964,0.0
122.47376504911045,0.0
122.50376504911046,0.0
130.9016183157114,0.0
136.9234901983032,0.0
141.47349617779844,0.0
141.5034961777984,0.0
141.53349617779838,0.0
141.56349617779836,0.0
141.59599617779833,0.0
145.45359345021467,0.0
149.05146226509402,0.0
149.086462265094,0.0
149.116462265094,0.0
150.68746759986018,0.0
152.9621777999301,0.0
152.99217779993006,0.0
155.18061686929974,0.0
155.2131168692997,0.0
155.24311686929968,0.0
155.27311686929966,0.0
155.30311686929963,0.0
156.3356168692996,0.0
157.40903112977907,0.0
157.43903112977904,0.0
161.98427753727458,0.0
166.1181668314748,0.0
167.36811686929957,0.0
171.02366879163702,0.0
176.5711783055578,0.0
176.60367830555776,0.0
180.40061686929954,0.0
180.4306168692995,0.0
180.46061686929949,0.0
181.49311686929946,0.0
181.52311686929943,0.0
181.5531168692994,0.0
181.58561686929937,0.0
181.61561686929934,0.0
181.64561686929932,0.0
181.6756168692993,0.0
181.70561686929926,0.0
183.85413067013707,0.0
185.9878874575647,0.0
189.59409764012875,0.0
193.60912559426623,0.0
193.6391255942662,0.0
195.73811686929923,0.0
195.7706168692992,0.0
195.80061686929918,0.0
195.83061686929915,0.0
195.86061686929912,0.0
195.8906168692991,0.0
196.92311686929907,0.0
197.95561686929904,0.0
197.985616869299,0.0
199.3827041018592,0.0
201.0209565199658,0.0
202.05595651996578,0.0
202.08595651996575,0.0
203.11845651996572,0.0
203.1484565199657,0.0
205.15946133460517,0.0
205.18946133460514,0.0
205.2194613346051,0.0
205.2494613346051,0.0
208.18338888456253,0.0
211.67231987604197,0.0
211.70481987604194,0.0
211.7348198760419,0.0
214.3545436793998,0.0
217.26253511241453,0.0
217.2925351124145,0.0
217.32503511241447,0.0
219.18095651996566,0.0
219.21095651996563,0.0
219.2434565199656,0.0
219.27345651996558,0.0
220.30595651996555,0.0
220.33595651996552,0.0
221.3684565199655,0.0
222.40095651996546,0.0
222.43095651996543,0.0
223.4659565199654,0.0
223.49595651996538,0.0
223.52595651996535,0.0
223.55595651996532,0.0
225.57305504063063,0.0
227.27234442831156,0.0
227.30234442831153,0.0
228.6888433013624,0.0
230.6055550406306,0.0
230.63555504063058,0.0
230.66555504063055,0.0
231.69805504063052,0.0
232.7305550406305,0.0
232.76555504063046,0.0
235.98054737704211,0.0
237.79805504063043,0.0
237.8280550406304,0.0
237.85805504063038,0.0
238.94354929120658,0.0
242.55813903446537,0.0
243.89305504063034,0.0
244.92555504063031,0.0
245.95805504063028,0.0
245.98805504063026,0.0
247.18462853907823,0.0
247.2146285390782,0.0
249.02055504063023,0.0
250.0530550406302,0.0
250.08555504063017,0.0
250.11805504063014,0.0
250.1480550406301,0.0
252.85833789173137,0.0
255.18055504063008,0.0
256.2130550406301,0.0
256.24305504063005,0.0
257.27555504063,0.0
261.2130127970698,0.0
261.24301279706975,0.0
261.2730127970697,0.0
264.8787398892022,0.0
264.9087398892022,0.0
264.93873988920217,0.0
266.30805504063,0.0
267.34055504062997,0.0
268.37305504062994,0.0
270.51562191636145,0.0
270.5456219163614,0.0
272.59735765746603,0.0
274.3862792388427,0.0
275.41877923884266,0.0
276.78591526844406,0.0
278.45127923884263,0.0
281.02537141773524,0.0
285.059838570221,0.0
285.089838570221,0.0
285.11983857022096,0.0
286.4837792388426,0.0
289.31082370245844,0.0
293.3374170284453,0.0
294.51627923884257,0.0
295.7504986063578,0.0
295.78049860635775,0.0
297.55127923884254,0.0
297.5812792388425,0.0
297.6112792388425,0.0
298.64377923884246,0.0
300.32160858465727,0.0
300.35160858465724,0.0
300.3816085846572,0.0
300.4141085846572,0.0
301.6762792388424,0.0
302.7112792388424,0.0
304.5669790619215,0.0
306.74377923884236,0.0
307.77627923884233,0.0
307.8062792388423,0.0
307.8412792388423,0.0
308.8800287676661,0.0
310.38375559690803,0.0
311.91502876766606,0.0
313.9285621973094,0.0
313.9610621973094,0.0
314.99356219730936,0.0
315.02356219730933,0.0
316.0560621973093,0.0
317.09106219730927,0.0
318.12356219730924,0.0
319.1560621973092,0.0
321.13326202372815,0.0
321.1632620237281,0.0
322.580347923743,0.0
322.61284792374295,0.0
324.89744401054355,0.0
326.94878462074627,0.0
328.1982620237281,0.0
329.23076202372806,0.0
329.26076202372803,0.0
329.290762023728,0.0
330.93796580551924,0.0
330.9679658055192,0.0
333.7367150155693,0.0
333.7667150155693,0.0
333.80171501556924,0.0
333.8317150155692,0.0
333.8617150155692,0.0
333.89171501556916,0.0
335.9464060417406,0.0
335.9764060417406,0.0
336.00640604174055,0.0
337.3257620237279,0.0
337.3557620237279,0.0
338.47251518845934,0.0
338.5025151884593,0.0
340.5837496742591,0.0
342.39076202372786,0.0
342.42326202372783,0.0
342.4557620237278,0.0
344.34769176409003,0.0
