Point in Time[s],Waiting Time[s]
0.0,0.0
50.015,40.0
100.1528,40.0
150.1678,40.0
203.8641409119509,40.0
256.2145448696099,40.0
306.22954486960987,40.0
358.1970448696099,40.0
