Point in Time[s],Number of Resource Containers[]
60.02064607023919,3
70.09803333617452,5
80.25161468479675,7
92.18252182928074,9
102.62865102168604,11
112.64594797934426,13
155.1702144463756,15
165.67367134861257,17
175.8936713486124,19
186.50326377028733,21
197.43574454676806,23
208.2486713486121,25
228.94790278497848,27
249.59179081320912,29
259.93900690483383,31
311.97843094201767,33
322.4704876810075,35
353.29945643780144,37
374.17687418722807,39
395.06171379913565,41
