Point in Time[s],Number of Resource Containers[]
60.52897297603196,2
83.54360175378405,3
104.19919702724873,4
124.44862216338069,5
146.00601576147554,6
169.08826755961204,7
189.5618999999998,8
210.62544610755853,9
230.97528075033293,10
261.99869298165817,11
283.15105002336253,12
304.1496103498375,13
325.5848532210322,14
346.8592827014836,15
367.4718624013262,16
387.8086200048999,17
