Point in Time[s],Number of Resource Containers[]
60.14449524189236,3
90.85633340019996,5
121.90873103570856,7
153.89719784914826,9
185.98461213066273,11
217.393812783278,13
248.6131954767019,15
278.88882895454555,17
309.5045492796325,19
361.8985490609668,21
