Point in Time[s],Resource Demand[s]
0.0,0.04
0.26427156423719916,0.04
3.387398136384177,0.04
4.24082451804193,0.04
4.767846625297225,0.04
4.992908684377298,0.04
12.578760139156993,0.04
13.31962556032472,0.04
15.190485253905143,0.04
15.230357059342829,0.04
15.44978749039628,0.04
15.87020261765121,0.04
20.049256663624696,0.04
20.715645082102995,0.04
21.268425707428456,0.04
21.804980905459935,0.04
26.429740311471605,0.04
28.831119417210378,0.04
28.918217540596967,0.04
33.29578695768727,0.04
35.59804471469299,0.04
37.051271311555965,0.04
38.92876469446251,0.04
43.174210624400274,0.04
50.198343801878245,0.04
50.57363973261002,0.04
53.80140579069586,0.04
54.17464905486968,0.04
56.26473762507828,0.04
59.045165454116336,0.04
63.45679580236446,0.04
66.45938332069102,0.04
68.31633969051708,0.04
70.09660783473078,0.04
71.00587159049351,0.04
71.53673480208215,0.04
74.6613074024313,0.04
75.36778837712546,0.04
75.57198414817226,0.04
76.52520147001078,0.04
76.68892590694979,0.04
79.16394677605923,0.04
79.90548226596347,0.04
80.37939873621659,0.04
81.36013175180547,0.04
83.17393485051974,0.04
86.29516965033095,0.04
89.37718331608251,0.04
93.43304297977352,0.04
96.9787425992853,0.04
97.4088404879091,0.04
97.7270204594283,0.04
98.61821619710165,0.04
99.15244213658274,0.04
103.98392094591317,0.04
111.48568340905365,0.04
111.69907783758758,0.04
111.76610199011716,0.04
112.5158732219961,0.04
114.69390668070562,0.04
118.52115686410691,0.04
118.8155160193611,0.04
119.69865445296887,0.04
121.07304622806967,0.04
125.33697921463336,0.04
127.02162496939152,0.04
127.98018659112806,0.04
130.11133104480638,0.04
130.9745723303473,0.04
131.56062193783387,0.04
131.90504239760975,0.04
132.58286373640766,0.04
132.61077903111993,0.04
133.98682072209726,0.04
136.13205035748086,0.04
137.37625966346883,0.04
137.65278416548242,0.04
139.47293411144395,0.04
145.2937243179685,0.04
147.13892383282473,0.04
148.09390249213382,0.04
153.42762894559357,0.04
154.91709063349484,0.04
155.09789163667585,0.04
155.829602215363,0.04
158.47698499864075,0.04
160.75415373409137,0.04
161.8040589216738,0.04
163.3622112112268,0.04
164.3645126926743,0.04
166.55723489523248,0.04
167.7741199587471,0.04
168.73110409826302,0.04
169.09342530004938,0.04
169.68599006796677,0.04
170.6920071119967,0.04
171.940826370431,0.04
173.7693662225408,0.04
178.58709194608258,0.04
179.03320445170877,0.04
181.85459917672668,0.04
188.59635783317742,0.04
188.76507322847127,0.04
191.09160216829474,0.04
191.15793532551723,0.04
192.19038637284274,0.04
193.02306985485828,0.04
194.6853385962346,0.04
195.11935564410268,0.04
195.80765567285883,0.04
196.79427481924756,0.04
197.4513148641042,0.04
198.54210823032344,0.04
199.96231242367284,0.04
206.6005511157396,0.04
209.6056955452258,0.04
214.06688112382793,0.04
218.23481262677691,0.04
220.6887120467386,0.04
220.77982178867444,0.04
222.58376167078305,0.04
224.22178507615655,0.04
224.62945887960367,0.04
225.81309326839846,0.04
226.94451033860724,0.04
230.94143203868737,0.04
231.21305231659716,0.04
236.24068021423014,0.04
237.031635699513,0.04
237.5800440666481,0.04
238.6986858544428,0.04
241.58208382610138,0.04
