Point in Time[s],Resource Demand[s]
0.0,0.04
1.2375575474221854,0.04
1.6591392638369071,0.04
3.5609250725078923,0.04
6.886189066813733,0.04
8.142978220498916,0.04
9.41864456757855,0.04
11.75437562119549,0.04
12.238238665979877,0.04
12.652985905342513,0.04
15.352651220164038,0.04
18.063892335577712,0.04
20.009120425116453,0.04
20.752480188213013,0.04
22.690662317532496,0.04
23.299645219456025,0.04
25.298011312382716,0.04
28.92543737976991,0.04
32.603615783186946,0.04
35.088473929184154,0.04
35.33987524839669,0.04
35.80638076560806,0.04
43.2648696493021,0.04
43.510133555853166,0.04
44.117213522677886,0.04
45.998323061390906,0.04
46.9374972899584,0.04
49.752615144416396,0.04
52.5576202396136,0.04
54.07377727597434,0.04
55.09216811566448,0.04
58.212127855202155,0.04
58.62476381424224,0.04
60.496913549955025,0.04
60.67656375459109,0.04
62.26941055282158,0.04
65.93954411861324,0.04
66.43282059458855,0.04
67.0056559067013,0.04
71.68501410995287,0.04
71.96875554982853,0.04
77.05250363596701,0.04
83.87723454918513,0.04
86.60587995324305,0.04
88.25315775225567,0.04
90.85796228940423,0.04
94.49136404739805,0.04
95.92029552975863,0.04
97.32829263586427,0.04
98.0380465473818,0.04
99.71163890525698,0.04
101.1637394513569,0.04
103.40270250694273,0.04
106.3408167319188,0.04
109.38716783664584,0.04
111.24085064063426,0.04
113.6193329038318,0.04
114.57595685885936,0.04
115.30006064767932,0.04
120.48902381443587,0.04
123.24026506633133,0.04
125.0863398643185,0.04
126.94333610754586,0.04
128.0719402508984,0.04
128.60216604258613,0.04
129.22550184902386,0.04
130.26034098920385,0.04
131.31056086597175,0.04
132.0727787011048,0.04
134.001457412597,0.04
136.43834704672432,0.04
137.88354995973995,0.04
142.14698208729854,0.04
143.25147093124963,0.04
143.28034623264236,0.04
151.90294320741063,0.04
153.42525979770144,0.04
153.85830123061652,0.04
157.52117887546459,0.04
159.52337335064368,0.04
161.27288123269707,0.04
164.60486758809867,0.04
165.14244362177232,0.04
165.433737584725,0.04
172.75732800985892,0.04
177.77294202014212,0.04
177.8190165038279,0.04
181.22786338067039,0.04
183.5706105698784,0.04
186.04227324446364,0.04
186.5726553520175,0.04
191.420371656545,0.04
191.7347411109481,0.04
192.59928292281356,0.04
193.01127906944106,0.04
198.33584167012648,0.04
199.08913951308347,0.04
201.59022000536837,0.04
203.3861192580978,0.04
204.37302872770616,0.04
204.8770736687118,0.04
205.654972914097,0.04
206.7420834642136,0.04
210.8993102780323,0.04
213.41044866355188,0.04
218.34183586684404,0.04
227.03088589502033,0.04
227.311023959696,0.04
229.50564620231776,0.04
229.63883463179076,0.04
230.0536031478733,0.04
230.47393182998772,0.04
231.18191394812007,0.04
233.46670327712803,0.04
233.56423316127604,0.04
238.39605205071763,0.04
241.80627553746305,0.04
242.74121345919946,0.04
244.78186576513446,0.04
245.42450242819052,0.04
245.64125432275935,0.04
246.2477845664887,0.04
246.90950018759162,0.04
247.07177174831295,0.04
247.48710923327582,0.04
248.25084893672013,0.04
251.20442719814963,0.04
256.8207580267894,0.04
257.4068213638831,0.04
258.259567255487,0.04
261.08626180796716,0.04
262.5159159643924,0.04
263.1858954570846,0.04
265.5713409435954,0.04
265.71140153117375,0.04
265.7992950555899,0.04
266.4339243704016,0.04
267.3639023564531,0.04
277.80065985735746,0.04
283.32619620629316,0.04
283.81173911934934,0.04
284.57608378079163,0.04
286.1951706933016,0.04
290.26555460854996,0.04
291.70861515816836,0.04
293.19256193411525,0.04
293.8680288505409,0.04
295.7919390643161,0.04
296.19319210360834,0.04
297.38820803439853,0.04
298.8993020811332,0.04
299.2394312613605,0.04
299.8151953669237,0.04
299.89096535005757,0.04
304.824795609946,0.04
308.92877423914075,0.04
309.9943043792806,0.04
313.0074020105834,0.04
313.1100399028234,0.04
315.032446964541,0.04
321.42070401687806,0.04
322.28946892468156,0.04
324.9343243320462,0.04
326.06215174756545,0.04
329.43847439068304,0.04
330.2083389109272,0.04
330.4264418406873,0.04
334.3093465773419,0.04
334.90443743099337,0.04
335.6963261577531,0.04
336.05376884992523,0.04
338.3565485416669,0.04
338.5861969534058,0.04
341.22371380265946,0.04
345.7264057985954,0.04
348.17807509478365,0.04
348.85928326443616,0.04
350.3620331259102,0.04
351.6803658106502,0.04
351.8978689601426,0.04
352.94877661198296,0.04
355.09409962550376,0.04
355.869218828721,0.04
359.91338675355126,0.04
362.38835113594615,0.04
362.5796146484676,0.04
362.8537609563311,0.04
365.69887411633977,0.04
370.14972548981916,0.04
370.4252600619016,0.04
370.4332572196179,0.04
372.2510905116001,0.04
372.94195582582654,0.04
375.08580425020796,0.04
375.3376746202642,0.04
376.7874718499276,0.04
376.8433022363822,0.04
377.07618098640575,0.04
378.58345571017804,0.04
380.65032259746573,0.04
380.688411101717,0.04
381.42569282410574,0.04
388.06779316059436,0.04
393.02352590228406,0.04
393.1341021424566,0.04
394.6155622934927,0.04
396.3296239351667,0.04
404.2088246216725,0.04
406.1969396508789,0.04
410.5827745932297,0.04
410.828279628488,0.04
411.40432976075004,0.04
415.0974111586886,0.04
416.56687114515444,0.04
418.52702861828345,0.04
418.6517317825449,0.04
420.00879941691437,0.04
420.3516464255227,0.04
421.2683316060701,0.04
424.8443383163135,0.04
426.6861857835696,0.04
427.0928935612589,0.04
429.5377289381598,0.04
429.7447109882389,0.04
429.83958473908814,0.04
429.92457793519895,0.04
431.60156177148997,0.04
431.6970050715891,0.04
431.85861783840625,0.04
432.71541361246295,0.04
432.74783339279094,0.04
435.5996615265167,0.04
436.6140687750093,0.04
437.7493941846363,0.04
443.1139659536665,0.04
443.5104428715977,0.04
445.2451081525626,0.04
445.25028043210574,0.04
445.3992075355836,0.04
447.78024457912306,0.04
451.7141073204502,0.04
454.5970259022815,0.04
455.34948970966013,0.04
457.281338216066,0.04
457.66624638854927,0.04
458.97775647157476,0.04
459.3768686528992,0.04
460.36279713867907,0.04
461.42225689553203,0.04
466.97321186881106,0.04
467.15626631567613,0.04
467.2616064174335,0.04
468.77303114480424,0.04
472.6304834809101,0.04
474.94401397594044,0.04
480.5058291277976,0.04
481.01639909582076,0.04
483.99804298274586,0.04
484.91854452700665,0.04
488.0840169737637,0.04
489.7447613854087,0.04
489.925479391009,0.04
490.5144900438274,0.04
491.58116108760447,0.04
493.2353285381467,0.04
493.7546113462671,0.04
494.49800849803927,0.04
496.72879149046213,0.04
497.78791393109344,0.04
500.23850433842176,0.04
504.7355372492109,0.04
506.5842526330899,0.04
507.29395499326534,0.04
513.4323023311896,0.04
514.1803982243885,0.04
515.0989403105492,0.04
