Point in Time[s],Resource Demand[s]
0.055,0.04
1.2925575474221853,0.04
1.714139263836907,0.04
3.6159250725078924,0.04
6.941189066813733,0.04
8.197978220498916,0.04
9.47364456757855,0.04
11.809375621195489,0.04
12.293238665979876,0.04
12.707985905342513,0.04
15.407651220164038,0.04
18.118892335577712,0.04
20.064120425116453,0.04
20.807480188213013,0.04
22.745662317532496,0.04
23.354645219456025,0.04
25.353011312382716,0.04
28.98043737976991,0.04
32.658615783186946,0.04
35.143473929184154,0.04
35.39487524839669,0.04
35.86138076560806,0.04
43.3198696493021,0.04
43.565133555853166,0.04
44.172213522677886,0.04
46.06601429484453,0.04
46.9924972899584,0.04
49.807615144416395,0.04
52.6126202396136,0.04
54.128777275974336,0.04
55.14716811566448,0.04
58.267127855202155,0.04
58.67976381424224,0.04
60.551913549955025,0.04
60.73156375459109,0.04
62.32441055282158,0.04
65.99454411861325,0.04
66.48782059458856,0.04
67.06065590670131,0.04
71.74001410995288,0.04
72.02375554982854,0.04
77.10750363596702,0.04
83.93223454918514,0.04
86.66087995324305,0.04
88.30815775225568,0.04
90.91296228940423,0.04
94.54636404739806,0.04
95.97529552975864,0.04
97.38329263586428,0.04
98.0930465473818,0.04
99.76663890525698,0.04
101.21873945135691,0.04
103.45770250694274,0.04
106.39581673191881,0.04
109.44216783664585,0.04
111.29585064063427,0.04
113.67433290383181,0.04
114.63095685885936,0.04
115.35506064767932,0.04
120.54402381443587,0.04
123.29526506633134,0.04
125.14133986431851,0.04
126.99833610754587,0.04
128.12694025089837,0.04
128.6571660425861,0.04
129.28050184902384,0.04
130.31534098920383,0.04
131.36556086597173,0.04
132.12777870110477,0.04
134.05645741259698,0.04
136.4933470467243,0.04
137.93854995973993,0.04
142.20198208729852,0.04
143.3175956298569,0.04
143.34647093124963,0.04
151.9579432074106,0.04
153.48025979770142,0.04
153.9133012306165,0.04
157.57617887546456,0.04
159.57837335064366,0.04
161.32788123269705,0.04
164.65986758809865,0.04
165.1974436217723,0.04
165.488737584725,0.04
172.8123280098589,0.04
177.8279420201421,0.04
177.87401650382787,0.04
