Point in Time[s],Resource Demand[s]
0.055,0.04
3.2942944307089466,0.04
6.392276253465329,0.04
8.810581623738358,0.04
12.845388944964128,0.04
13.741501119246472,0.04
14.7683646372874,0.04
15.967712156859632,0.04
18.407769117201852,0.04
24.35611601812401,0.04
28.293289962518347,0.04
30.477874681583057,0.04
30.626909075946177,0.04
33.09887621812228,0.04
33.39661584680867,0.04
35.10590146128048,0.04
36.270225514348695,0.04
37.59150225807074,0.04
37.7494743145104,0.04
39.186934592762356,0.04
39.49905751329266,0.04
40.57363872264841,0.04
41.033734557626325,0.04
41.11118884172872,0.04
44.968948948496106,0.04
46.37405733159409,0.04
47.152436320125744,0.04
48.51415713981771,0.04
50.35904360030583,0.04
51.28765739659444,0.04
51.868583255301864,0.04
52.00324107201305,0.04
55.711678154464536,0.04
58.596369009765255,0.04
58.69405155915972,0.04
61.039798608822586,0.04
61.44106388390399,0.04
63.24962215033632,0.04
65.84665117432088,0.04
66.8330562222687,0.04
67.16372226535215,0.04
67.85100231014509,0.04
70.84437658592564,0.04
72.16673648258902,0.04
74.98119924665102,0.04
76.25274593529359,0.04
78.76497954206802,0.04
79.9097995051663,0.04
80.7636731646922,0.04
81.04031108725485,0.04
83.81386904816115,0.04
84.92874403724709,0.04
87.09228437592874,0.04
88.19072380655732,0.04
89.41357892374096,0.04
89.97171792227425,0.04
95.86630023828614,0.04
98.42764893032603,0.04
99.81697632056267,0.04
100.49476636162235,0.04
103.97586554756224,0.04
104.63288895278622,0.04
105.05613107345721,0.04
114.13235457384339,0.04
114.6517445523447,0.04
115.24373196268199,0.04
115.68598644413944,0.04
115.96566825439496,0.04
119.83262362749596,0.04
122.97828307959404,0.04
125.09999555242211,0.04
125.49641206390953,0.04
126.90812845091445,0.04
132.39898719688458,0.04
132.64824193029608,0.04
135.42601803347162,0.04
143.62137108602474,0.04
144.28276784258173,0.04
148.16145073952663,0.04
149.7311516647689,0.04
153.78630241053185,0.04
156.94636858887685,0.04
157.48215391491135,0.04
159.24883558573654,0.04
159.32735411896493,0.04
163.79780564744553,0.04
163.84097247468532,0.04
166.4757854206899,0.04
167.45535805562372,0.04
170.53855024260736,0.04
171.37607721407514,0.04
174.25708324651757,0.04
175.01501263886763,0.04
175.03195285055926,0.04
