Point in Time[s],Resource Demand[s]
0.0,0.04
1.5044540146823095,0.04
3.4361308002588165,0.04
7.691504022517821,0.04
8.718677576671393,0.04
12.653783471961237,0.04
18.367115604199356,0.04
19.615060220937004,0.04
21.13175842368419,0.04
22.93404708470756,0.04
28.519409500701638,0.04
28.957377582914738,0.04
29.253738322613227,0.04
31.832330803008343,0.04
31.922527898726713,0.04
32.83099197356634,0.04
32.91363693484682,0.04
33.63217884018269,0.04
33.736326399402536,0.04
37.01894476050739,0.04
42.0135141460444,0.04
44.694155802177704,0.04
45.44953893254597,0.04
45.51679114815762,0.04
46.969792267674045,0.04
47.46161175557784,0.04
48.98762189403692,0.04
50.94680180378325,0.04
52.4210114186935,0.04
53.02632294212569,0.04
56.87634090429766,0.04
64.19862879625093,0.04
72.86170512961257,0.04
73.54457070258093,0.04
74.25007022209972,0.04
74.38659546233798,0.04
74.85176186334444,0.04
76.77891423733864,0.04
77.2569047332378,0.04
78.84639743579953,0.04
86.75162572941099,0.04
90.33836944602598,0.04
90.77580367051617,0.04
93.78392297476465,0.04
99.24540429887459,0.04
99.63023055675805,0.04
100.68921266714725,0.04
101.56918713049676,0.04
101.8492693150226,0.04
105.38479631714434,0.04
110.3815662781665,0.04
111.6990420421942,0.04
113.1213822802675,0.04
114.25625785776428,0.04
118.21686836398212,0.04
121.50916217593384,0.04
122.03709879480904,0.04
123.90732357558183,0.04
127.0358254360212,0.04
129.128114167082,0.04
130.63690873477,0.04
134.60117177245897,0.04
136.56301068510697,0.04
137.27209697676855,0.04
138.9804638171892,0.04
140.76210069840604,0.04
140.773454840895,0.04
141.16085677340044,0.04
141.78350086123498,0.04
144.39032406933745,0.04
150.59233390138968,0.04
151.12051968364204,0.04
151.7867213154469,0.04
152.50269013748226,0.04
153.95665224162363,0.04
159.63816630771282,0.04
160.86462868642795,0.04
166.08023772037728,0.04
166.51877156213038,0.04
168.67355358803968,0.04
170.96629099109506,0.04
172.44446158682283,0.04
172.7850638653861,0.04
178.59982121979732,0.04
182.47482234055812,0.04
183.34326175255333,0.04
186.59348014043715,0.04
188.9805366647252,0.04
193.53270796715842,0.04
197.0500926269167,0.04
197.31347242659402,0.04
197.74928378874338,0.04
202.06481989446763,0.04
212.70183773986784,0.04
214.54708763569747,0.04
216.05698482743813,0.04
216.0639735553378,0.04
216.32277266184286,0.04
218.99507720078105,0.04
220.1687291546269,0.04
220.29832550732064,0.04
220.95947856095273,0.04
221.22066091231716,0.04
224.2719153301867,0.04
224.32142670727214,0.04
225.02227406565444,0.04
227.19695604285116,0.04
228.81818849886923,0.04
231.09008116320388,0.04
232.2896676293751,0.04
234.82786477133396,0.04
235.41964693444788,0.04
237.1698119446348,0.04
237.86353451525306,0.04
242.87824327742305,0.04
243.27732162345964,0.04
246.5787745031165,0.04
249.82983186933066,0.04
250.55692106217234,0.04
253.22746627804693,0.04
253.31820610005212,0.04
253.38758227877193,0.04
254.03546931647315,0.04
257.452110378033,0.04
258.02541086715024,0.04
259.48415445938315,0.04
260.2769714045926,0.04
260.6109103576784,0.04
266.9336775284322,0.04
267.38297024571034,0.04
267.8360064581126,0.04
269.07401147726614,0.04
270.5378531422166,0.04
272.20942141415355,0.04
272.46348588321564,0.04
272.9833649525899,0.04
277.9715029796711,0.04
278.1798205980004,0.04
278.2165759308111,0.04
279.78572580584085,0.04
282.7163163359934,0.04
285.3035645463968,0.04
287.8827687610808,0.04
291.04766912342853,0.04
297.3752622175561,0.04
297.86906005679697,0.04
298.4622052792754,0.04
298.91284884420287,0.04
300.61362160767965,0.04
301.39776105901046,0.04
302.0726680732084,0.04
302.19254367644777,0.04
302.52886619802837,0.04
309.0714648559984,0.04
310.4174024792793,0.04
311.40264405281096,0.04
313.7848411874044,0.04
314.3668229999222,0.04
315.400324595424,0.04
316.3443222927739,0.04
320.2892270834937,0.04
323.8864458791853,0.04
325.23855340325133,0.04
327.12936198890475,0.04
327.6553845211098,0.04
330.0435050784537,0.04
333.05761255588294,0.04
340.81788841625166,0.04
343.314487829285,0.04
343.61766457107075,0.04
344.0830939365339,0.04
344.4790589890171,0.04
345.16324889121375,0.04
347.2213465075601,0.04
351.0103778103666,0.04
352.3104662450413,0.04
352.81654282925166,0.04
354.7705145656456,0.04
356.22132706965675,0.04
361.0765369895923,0.04
364.1964147091365,0.04
365.66047491833297,0.04
367.37835185851264,0.04
367.7577452966192,0.04
