Point in Time[s],Resource Demand[s]
0.055,0.04
1.5594540146823095,0.04
3.4911308002588166,0.04
7.74650402251782,0.04
8.773677576671393,0.04
12.708783471961237,0.04
18.422115604199355,0.04
19.670060220937003,0.04
21.18675842368419,0.04
22.98904708470756,0.04
28.574409500701638,0.04
29.012377582914738,0.04
29.308738322613227,0.04
31.887330803008343,0.04
31.977527898726713,0.04
32.88599197356634,0.04
32.96863693484682,0.04
33.68717884018269,0.04
33.791326399402536,0.04
37.07394476050739,0.04
42.0685141460444,0.04
44.749155802177704,0.04
45.50453893254597,0.04
45.57453893254597,0.04
47.024792267674044,0.04
47.51661175557784,0.04
49.04262189403692,0.04
51.00180180378325,0.04
52.4760114186935,0.04
53.08132294212569,0.04
56.93134090429766,0.04
64.25362879625094,0.04
72.91670512961258,0.04
73.59957070258093,0.04
74.30507022209973,0.04
74.44159546233799,0.04
74.90676186334444,0.04
76.83391423733865,0.04
77.31190473323781,0.04
78.90139743579954,0.04
86.806625729411,0.04
90.39336944602599,0.04
90.83080367051618,0.04
93.83892297476466,0.04
99.3004042988746,0.04
99.68523055675806,0.04
100.74421266714725,0.04
101.62418713049676,0.04
101.9042693150226,0.04
105.43979631714434,0.04
110.43656627816651,0.04
111.7540420421942,0.04
113.1763822802675,0.04
114.31125785776429,0.04
118.27186836398212,0.04
121.56416217593384,0.04
122.09209879480905,0.04
123.96232357558183,0.04
127.0908254360212,0.04
129.19082543602116,0.04
130.69190873476998,0.04
134.65617177245895,0.04
136.61801068510695,0.04
137.32709697676853,0.04
139.03546381718917,0.04
140.8457465559171,0.04
140.86074655591707,0.04
141.21585677340042,0.04
141.83850086123496,0.04
144.44532406933743,0.04
150.64733390138966,0.04
151.17551968364202,0.04
151.84172131544688,0.04
152.55769013748224,0.04
154.0116522416236,0.04
159.6931663077128,0.04
160.91962868642793,0.04
166.13523772037726,0.04
166.57377156213036,0.04
168.72855358803966,0.04
171.02129099109504,0.04
172.4994615868228,0.04
172.84006386538607,0.04
178.6548212197973,0.04
182.5298223405581,0.04
183.3982617525533,0.04
186.64848014043713,0.04
189.03553666472519,0.04
193.5877079671584,0.04
197.10509262691667,0.04
197.368472426594,0.04
197.80428378874336,0.04
202.1198198944676,0.04
212.75683773986782,0.04
214.60208763569744,0.04
216.14499609953845,0.04
216.15999609953843,0.04
216.37777266184284,0.04
219.05007720078103,0.04
220.22372915462688,0.04
220.35332550732062,0.04
221.0144785609527,0.04
221.27566091231714,0.04
224.32691533018667,0.04
224.37642670727212,0.04
225.07727406565442,0.04
227.25195604285113,0.04
228.8731884988692,0.04
231.14508116320386,0.04
232.34466762937507,0.04
234.88286477133394,0.04
235.47464693444786,0.04
237.22481194463478,0.04
237.91853451525304,0.04
242.93324327742303,0.04
243.33232162345962,0.04
246.63377450311648,0.04
249.88483186933064,0.04
250.6119210621723,0.04
253.2824662780469,0.04
253.3732061000521,0.04
253.44320610005207,0.04
254.09046931647313,0.04
257.507110378033,0.04
258.08041086715025,0.04
259.53915445938316,0.04
260.3319714045926,0.04
260.6659103576784,0.04
266.9886775284322,0.04
267.43797024571035,0.04
267.8910064581126,0.04
269.12901147726615,0.04
270.5928531422166,0.04
272.26442141415356,0.04
272.51848588321565,0.04
273.0383649525899,0.04
278.0265029796711,0.04
278.2380652651897,0.04
278.27482059800036,0.04
279.84072580584086,0.04
282.7713163359934,0.04
285.3585645463968,0.04
287.9377687610808,0.04
291.10266912342854,0.04
297.4302622175561,0.04
297.924060056797,0.04
298.53026221755607,0.04
298.9678488442029,0.04
300.66862160767965,0.04
301.45276105901047,0.04
302.1276680732084,0.04
302.2475436764478,0.04
302.5838661980284,0.04
309.1264648559984,0.04
310.4724024792793,0.04
311.45764405281096,0.04
313.83984118740443,0.04
314.4218229999222,0.04
315.45532459542403,0.04
316.3993222927739,0.04
320.3442270834937,0.04
323.9414458791853,0.04
325.29355340325134,0.04
327.18436198890475,0.04
327.7103845211098,0.04
330.0985050784537,0.04
333.11261255588295,0.04
340.87288841625167,0.04
343.369487829285,0.04
343.67266457107075,0.04
344.1380939365339,0.04
344.5340589890171,0.04
345.21824889121376,0.04
347.2763465075601,0.04
351.0653778103666,0.04
352.3654662450413,0.04
352.87154282925167,0.04
354.8255145656456,0.04
356.27632706965676,0.04
361.1315369895923,0.04
364.2514147091365,0.04
365.715474918333,0.04
367.43335185851265,0.04
367.8127452966192,0.04
370.12391767578623,0.04
370.2138021322676,0.04
373.91317459771614,0.04
374.5825555869059,0.04
376.75367943592437,0.04
377.15647267339267,0.04
380.2089332533324,0.04
381.9446929627913,0.04
383.1668893657157,0.04
383.8581536435555,0.04
384.11871341090387,0.04
387.315701829146,0.04
389.1039597747004,0.04
394.64041776872494,0.04
395.42398865586165,0.04
396.1907081246261,0.04
396.9016004184127,0.04
398.95912682445345,0.04
399.67144376084974,0.04
400.42484044524167,0.04
401.2805026729015,0.04
404.53400705359644,0.04
406.23946976183066,0.04
407.68136864477896,0.04
409.8032517781114,0.04
415.04336620815377,0.04
417.25822370023786,0.04
420.2137596276396,0.04
423.3084069357359,0.04
427.03952925381935,0.04
428.4265769900793,0.04
429.93432558028974,0.04
430.54866753406566,0.04
433.91120535153476,0.04
436.497101035931,0.04
437.68276908073625,0.04
438.55983155459404,0.04
439.6786654783125,0.04
444.466490839756,0.04
445.73416471802,0.04
447.5169094185832,0.04
451.6166303015522,0.04
457.8735280419933,0.04
458.85909998544685,0.04
461.52226750280954,0.04
461.9440999854468,0.04
462.25958916503913,0.04
463.0479815383584,0.04
463.48889771770513,0.04
464.4932710403567,0.04
464.91021879528193,0.04
468.5239296160525,0.04
469.8560069183929,0.04
470.15235320307113,0.04
471.6478017634073,0.04
471.80460587924676,0.04
472.7120639354072,0.04
475.31561043071963,0.04
475.3856104307196,0.04
476.0662630425003,0.04
476.7523884063292,0.04
477.42949147210754,0.04
479.16626304250025,0.04
479.69789590310086,0.04
485.42695740950967,0.04
486.0997808471033,0.04
488.3274753477531,0.04
488.72476376089253,0.04
489.946782450287,0.04
490.45492909356807,0.04
492.0560972972966,0.04
492.18498631573294,0.04
492.92115715600795,0.04
492.93615715600794,0.04
494.27714727558725,0.04
495.7933669371464,0.04
499.44078153180226,0.04
499.78970884555963,0.04
500.1909862440775,0.04
501.20057499847894,0.04
501.41662793363207,0.04
502.37138539774514,0.04
503.0721058906438,0.04
505.70677816851645,0.04
507.30720092852147,0.04
509.88724834912983,0.04
511.14344425866796,0.04
511.21344425866795,0.04
512.5645800707535,0.04
515.7582739851936,0.04
516.4469263933472,0.04
516.4703387173453,0.04
516.6356911144862,0.04
517.6052293704705,0.04
517.6510442518368,0.04
518.0524228259292,0.04
519.1302760217083,0.04
520.2621572128377,0.04
521.1403774706544,0.04
526.2868281122414,0.04
526.5935080142698,0.04
540.3648007689045,0.04
541.5111955719058,0.04
541.5503776787245,0.04
