Point in Time[s],State of Passive Resource[]
51.126912000000004,9999
51.126912000000004,10000
106.74482306294189,9999
106.74482306294189,10000
158.5168097119182,9999
158.5168097119182,10000
208.5468097119182,9999
208.5468097119182,10000
258.56180971191816,9999
258.56180971191816,10000
311.0006678705353,9999
311.0006678705353,10000
365.6932082387564,9999
365.6932082387564,10000
