Point in Time[s],State of Passive Resource[]
0.0,9999
0.0,10000
50.015,9999
50.015,10000
100.1528,9999
100.1528,10000
170.60277469206818,9999
170.60277469206818,10000
220.63277469206818,9999
220.63277469206818,10000
270.65027469206814,9999
270.65027469206814,10000
323.966689799573,9999
323.966689799573,10000
373.98168979957296,9999
373.98168979957296,10000
