Point in Time[s],Number of Resource Containers[]
60.43903163228008,2
84.1398601902677,3
104.67565226865199,4
125.21076197647658,5
145.6920696893345,6
165.9487311536168,7
186.40946211290648,8
207.2787373982111,9
227.944462112906,10
248.7599116634283,11
269.6715574180407,12
290.0267046551937,13
312.5172825853292,14
333.6806814818568,15
354.8809473973155,16
375.56183766297914,17
396.8455522869734,18
