Point in Time[s],Resource Demand[s]
0.0,0.04
1.8542237640605554,0.04
2.131328240710159,0.04
2.1642694864044176,0.04
3.5893205800807824,0.04
4.832252050578695,0.04
6.197013419027263,0.04
6.796305567036393,0.04
10.426878799085417,0.04
11.641982043279906,0.04
19.225469756168874,0.04
20.178918918639326,0.04
21.464408967300535,0.04
22.82596958555462,0.04
23.169810848520097,0.04
23.638690394163934,0.04
24.194077077426176,0.04
27.624263631271347,0.04
30.56419968115406,0.04
31.98656432807205,0.04
33.31042800069309,0.04
33.939596455740656,0.04
36.627661266574314,0.04
37.69776637393447,0.04
46.4262372103373,0.04
47.49612618945243,0.04
47.95959369391911,0.04
48.7421460065665,0.04
52.17293476512381,0.04
56.658926317661624,0.04
57.211301041525815,0.04
57.237759756853016,0.04
59.603719191116646,0.04
62.306959648485446,0.04
64.48650768290933,0.04
66.95385929113543,0.04
67.34261012884956,0.04
72.09241316297815,0.04
72.33203193241698,0.04
74.76512574194986,0.04
77.9539429408101,0.04
81.50688553601327,0.04
82.69993956662681,0.04
83.44879527563896,0.04
84.03922376654836,0.04
86.94287463503721,0.04
87.87650791146554,0.04
88.25659479673587,0.04
90.0434869643027,0.04
93.87460756145407,0.04
94.60923849852487,0.04
99.06513637359511,0.04
100.72261366885873,0.04
102.92436405703262,0.04
105.4739692317223,0.04
106.50248890592636,0.04
108.234253906422,0.04
108.83170455538094,0.04
111.06235392104985,0.04
113.70409060603878,0.04
114.15735089174777,0.04
116.38841758354567,0.04
118.29559003854116,0.04
120.90059255012721,0.04
122.66561087570717,0.04
123.2946225813184,0.04
123.38538941273207,0.04
123.70459416092729,0.04
124.37044140369929,0.04
125.80792378350873,0.04
126.32548071174777,0.04
132.94061892969071,0.04
133.48721556597272,0.04
138.86129532147373,0.04
141.1811913706029,0.04
147.8026138156506,0.04
147.88045551298993,0.04
148.18424928364715,0.04
151.02602689133775,0.04
153.11828506685404,0.04
154.33244826062898,0.04
155.0804879725993,0.04
155.3615730329379,0.04
156.00658864231437,0.04
157.50271949242227,0.04
160.43006273877856,0.04
160.78313230453003,0.04
162.03546575872608,0.04
162.91880536227615,0.04
166.09882171916283,0.04
168.34943735280774,0.04
171.2389369367939,0.04
173.69636194193305,0.04
180.15131234338835,0.04
184.32098840048465,0.04
186.55815235778348,0.04
187.475521523667,0.04
188.79566591341364,0.04
189.5112663853609,0.04
191.26922142574722,0.04
191.462735841246,0.04
191.4939094454023,0.04
196.15309565745284,0.04
196.9553458910813,0.04
199.7776708436868,0.04
200.32994643826282,0.04
200.8922614502311,0.04
204.0974000806732,0.04
211.8918686360064,0.04
215.3173869268301,0.04
219.229047129855,0.04
222.43431503892717,0.04
223.45581583562196,0.04
223.54747693735573,0.04
223.65090572683204,0.04
